blackdeaths
3
3
1
7
13
9
5
3
27
10
4
9
1
12
2
56
8
9
2
27
1
15
16
1
7
5
2
5
9
1
1
2
2
1
1
1
33
16
2
20
8
17
12
1
2
7
27
12
3
15
6
3
14
5
10
48
7
7
2
7
24
6
9
21
15
6
4
2
3
3
2
5
8
2
5
1
1
1
4
1
36
5
2
5
4
3
2
7
3
1
3
759
1957
